City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
311,Ranikhet,IN,79.57400000000001,clear sky,29.65,79.4167,Bay Berry by One Earth
312,Shaoyang,CN,84.05600000000004,overcast clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
313,Shache,CN,77.75600000000003,overcast clouds,38.4167,77.2406,Delong Hotel
314,Dunmore Town,BS,80.90600000000003,scattered clouds,25.5,-76.65,Coral Sands Hotel
318,Oranjestad,AW,80.54600000000005,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
319,Mandalgovi,MN,79.934,overcast clouds,45.7625,106.2708,В.Ганбат
321,Dawei,MM,87.00800000000001,overcast clouds,14.0833,98.2,Hotel Dawei
322,Kirakira,SB,81.46400000000003,broken clouds,-10.4544,161.9205,SanBiz Lodge
324,Guamuchil,MX,78.74600000000005,broken clouds,25.4667,-108.1,Hotel Heredia
330,Calvia,ES,76.08200000000002,broken clouds,39.5657,2.5062,Castell Son Claret
341,Okmulgee,US,80.09600000000006,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
343,La Orilla,MX,78.78200000000001,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
344,Kalianget,ID,83.62400000000002,broken clouds,-7.05,113.9333,Pesanggrahan Garam
348,Moroni,KM,78.80000000000001,scattered clouds,-11.7022,43.2551,Hotel Les Arcades
349,Turochak,RU,75.79400000000007,overcast clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
350,Anuradhapura,LK,87.15200000000007,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
355,Ambulu,ID,85.87400000000002,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
363,Atambua,ID,82.79600000000005,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
364,Najran,SA,83.04800000000003,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
370,Seydi,TM,83.89400000000008,clear sky,39.4816,62.9137,Seydi oteli
372,Manzanillo,CU,75.45200000000008,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
375,Matay,EG,77.27000000000007,clear sky,28.419,30.7792,Nag Aespen
377,Aswan,EG,79.89800000000002,clear sky,24.0934,32.907,Nuba Nile
379,Acapulco,MX,78.62000000000006,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
381,Hays,US,87.72800000000007,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
383,Ginda,IN,78.40400000000005,few clouds,30.6945,78.4932,Sunil Bisht
386,Dwarka,IN,86.108,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
388,Brokopondo,SR,75.63200000000002,overcast clouds,4.75,-55.1667,Matu Island
393,Vanimo,PG,83.46200000000006,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
395,Mongo,TD,79.89800000000002,light rain,12.1844,18.693,Résidences du Programme FIDA
398,Artyom,AZ,82.54400000000007,clear sky,40.4723,50.333,Pir hos
400,Sola,VU,79.05200000000008,overcast clouds,-13.8833,167.55,Leumerus Bungalows
406,Salalah,OM,84.29000000000002,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
409,Ewa Beach,US,80.54600000000005,overcast clouds,21.3156,-158.0072,Base Lodging
410,Nusaybin,TR,82.65200000000007,clear sky,37.0778,41.2178,Aydinlar Hotel
411,Mogadishu,SO,80.47400000000002,broken clouds,2.0371,45.3438,Hotel Juba
412,Katsina,NG,78.9260000000001,few clouds,12.9894,7.6006,Katsina Motel
413,Alyangula,AU,80.042,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
417,Izumo,JP,84.092,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
427,Mecca,SA,87.08000000000004,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
429,Shakhtinsk,KZ,77.77400000000002,scattered clouds,49.71,72.5872,Orifleym
430,Along,IN,80.67200000000004,overcast clouds,28.1667,94.7667,Hotel West
432,Damietta,EG,75.092,clear sky,31.4165,31.8133,SULIMAN INN
436,Labuhan,ID,85.69400000000007,overcast clouds,-6.8844,112.2051,DoubleFAG
439,Yakeshi,CN,78.54800000000003,clear sky,49.2833,120.7333,Longhua Hotel
440,Teahupoo,PF,75.16400000000004,broken clouds,-17.8333,-149.2667,Vanira Lodge
442,Boyolangu,ID,83.174,broken clouds,-8.1181,111.8935,Yos ega cv
453,Port Hueneme,US,78.26000000000008,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
