City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
104,Kavieng,PG,2022-06-21 04:39:29,-2.5744,150.7967,84.84800000000003,65,54,2.3,broken clouds
105,Piacabucu,BR,2022-06-21 04:37:53,-10.4056,-36.4344,73.72400000000002,89,70,3.68,broken clouds
106,Mareeba,AU,2022-06-21 04:39:31,-17.0,145.4333,72.44600000000005,76,99,2.95,overcast clouds
107,Longyearbyen,SJ,2022-06-21 04:36:09,78.2186,15.6401,42.63800000000005,70,75,12.86,light rain
108,Srednekolymsk,RU,2022-06-21 04:39:32,67.45,153.6833,54.48200000000001,30,8,2.5,clear sky
109,Avera,US,2022-06-21 04:39:33,33.194,-82.5271,72.91400000000004,41,99,3.13,overcast clouds
110,Klyavlino,RU,2022-06-21 04:39:33,54.2649,52.0267,56.93000000000004,76,28,6.8,scattered clouds
111,Tuktoyaktuk,CA,2022-06-21 04:39:34,69.4541,-133.0374,37.4,75,20,4.63,few clouds
112,Zhigansk,RU,2022-06-21 04:39:34,66.7697,123.3711,58.55,28,0,7.57,clear sky
113,Yellowknife,CA,2022-06-21 04:35:02,62.456,-114.3525,66.72200000000004,39,20,2.06,few clouds
114,Praia Da Vitoria,PT,2022-06-21 04:39:35,38.7333,-27.0667,64.76000000000008,94,75,7.42,broken clouds
115,Vostok,RU,2022-06-21 04:39:36,46.4856,135.8833,60.71000000000008,90,100,1.85,overcast clouds
116,Victoria,HK,2022-06-21 04:39:36,22.2855,114.1577,87.85400000000006,78,100,5.36,overcast clouds
117,Pinega,RU,2022-06-21 04:39:37,64.7001,43.3936,51.26000000000008,68,65,2.99,broken clouds
118,Wajima,JP,2022-06-21 04:39:37,37.4,136.9,83.084,69,75,3.6,broken clouds
119,San Cristobal,VE,2022-06-21 04:39:38,7.7669,-72.225,71.78000000000004,90,98,1.1,overcast clouds
120,Jian,CN,2022-06-21 04:39:38,27.1172,114.9793,75.434,95,100,4.26,overcast clouds
